time,lng,lat,strong,power,speed,moveDir,moveSpeed,pressure,r7,r10,r12,remark,forecast,r7Quad.ne,r7Quad.se,r7Quad.sw,r7Quad.nw,r10Quad.ne,r10Quad.se,r10Quad.sw,r10Quad.nw,r12Quad.ne,r12Quad.se,r12Quad.sw,r12Quad.nw
1992-09-21T14:00:00,155.0,6.5,,5,9,,,1006,,,,,,,,,,,,,,,,,
1992-09-21T20:00:00,156.0,6.7,,5,9,,,1006,,,,,,,,,,,,,,,,,
1992-09-22T02:00:00,156.3,7.5,,5,9,,,1006,,,,,,,,,,,,,,,,,
1992-09-22T08:00:00,156.5,8.4,,5,9,,,1006,,,,,,,,,,,,,,,,,
1992-09-22T14:00:00,155.7,9.5,,5,10,,,1004,,,,,,,,,,,,,,,,,
1992-09-22T20:00:00,154.5,10.0,,5,10,,,1004,,,,,,,,,,,,,,,,,
1992-09-23T02:00:00,154.7,10.6,,5,10,,,1004,,,,,,,,,,,,,,,,,
1992-09-23T08:00:00,155.0,11.0,,5,10,,,1004,,,,,,,,,,,,,,,,,
1992-09-23T14:00:00,155.6,12.0,,5,10,,,1004,,,,,,,,,,,,,,,,,
1992-09-23T20:00:00,155.8,13.0,热带低压(TD),6,12,,,1002,,,,,,,,,,,,,,,,,
1992-09-24T02:00:00,155.9,13.7,热带低压(TD),6,12,,,1002,,,,,,,,,,,,,,,,,
1992-09-24T08:00:00,156.1,14.7,热带低压(TD),6,12,,,1002,,,,,,,,,,,,,,,,,
1992-09-24T14:00:00,155.8,16.5,热带低压(TD),7,15,,,1000,,,,,,,,,,,,,,,,,
1992-09-24T20:00:00,155.7,17.6,热带低压(TD),7,15,,,1000,,,,,,,,,,,,,,,,,
1992-09-25T02:00:00,155.5,18.5,热带低压(TD),7,15,,,998,,,,,,,,,,,,,,,,,
1992-09-25T08:00:00,155.0,19.5,热带低压(TD),7,15,,,998,,,,,,,,,,,,,,,,,
1992-09-25T14:00:00,155.5,20.7,热带风暴(TS),8,20,,,995,,,,,,,,,,,,,,,,,
1992-09-25T20:00:00,155.3,22.4,热带风暴(TS),8,20,,,990,,,,,,,,,,,,,,,,,
1992-09-26T02:00:00,154.1,24.3,热带风暴(TS),8,20,,,990,,,,,,,,,,,,,,,,,
1992-09-26T08:00:00,153.3,26.0,强热带风暴(STS),10,25,,,985,,,,,,,,,,,,,,,,,
1992-09-26T14:00:00,152.8,27.4,强热带风暴(STS),10,25,,,985,,,,,,,,,,,,,,,,,
1992-09-26T20:00:00,152.0,29.4,强热带风暴(STS),10,25,,,985,,,,,,,,,,,,,,,,,
1992-09-27T02:00:00,151.0,31.7,强热带风暴(STS),10,25,,,990,,,,,,,,,,,,,,,,,
1992-09-27T08:00:00,149.7,33.5,热带风暴(TS),8,20,,,990,,,,,,,,,,,,,,,,,
1992-09-27T14:00:00,150.6,35.9,热带风暴(TS),8,20,,,990,,,,,,,,,,,,,,,,,
1992-09-27T20:00:00,153.3,38.4,热带风暴(TS),8,20,,,995,,,,,,,,,,,,,,,,,
1992-09-28T02:00:00,156.4,42.5,热带风暴(TS),8,20,,,990,,,,,,,,,,,,,,,,,
1992-09-28T08:00:00,157.8,46.0,热带风暴(TS),8,20,,,984,,,,,,,,,,,,,,,,,
1992-09-28T14:00:00,158.8,48.0,强热带风暴(STS),10,25,,,980,,,,,,,,,,,,,,,,,
