time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,radius12,remark,forecast,radius7_quad.ne,radius7_quad.se,radius7_quad.sw,radius7_quad.nw,radius10_quad.ne,radius10_quad.se,radius10_quad.sw,radius10_quad.nw,radius12_quad.ne,radius12_quad.se,radius12_quad.sw,radius12_quad.nw
1996-11-05T14:00:00,128.7,8.6,热带低压(TD),6,12,,,1004,,,,,,,,,,,,,,,,,
1996-11-05T20:00:00,127.8,9.0,热带低压(TD),6,12,,,1004,,,,,,,,,,,,,,,,,
1996-11-06T02:00:00,126.8,9.3,热带低压(TD),6,12,,,1004,,,,,,,,,,,,,,,,,
1996-11-06T08:00:00,125.5,9.7,热带低压(TD),6,12,,,1004,,,,,,,,,,,,,,,,,
1996-11-06T14:00:00,124.5,10.0,热带低压(TD),6,12,,,1004,,,,,,,,,,,,,,,,,
1996-11-06T20:00:00,123.5,10.7,热带低压(TD),6,12,,,1004,,,,,,,,,,,,,,,,,
1996-11-07T02:00:00,122.5,11.3,热带低压(TD),6,12,,,1004,,,,,,,,,,,,,,,,,
1996-11-07T08:00:00,121.4,11.7,热带低压(TD),6,12,,,1004,,,,,,,,,,,,,,,,,
1996-11-07T14:00:00,120.3,11.9,热带低压(TD),6,12,,,1004,,,,,,,,,,,,,,,,,
1996-11-07T20:00:00,119.2,12.0,热带低压(TD),6,12,,,1004,,,,,,,,,,,,,,,,,
1996-11-08T02:00:00,118.5,12.2,热带低压(TD),7,15,,,1002,,,,,,,,,,,,,,,,,
1996-11-08T08:00:00,118.1,12.5,热带低压(TD),7,15,,,1000,,,,,,,,,,,,,,,,,
1996-11-08T14:00:00,118.0,13.1,热带低压(TD),7,15,,,1000,,,,,,,,,,,,,,,,,
1996-11-08T20:00:00,117.9,13.8,热带低压(TD),7,15,,,1000,,,,,,,,,,,,,,,,,
1996-11-09T02:00:00,117.6,14.6,热带低压(TD),7,15,,,998,,,,,,,,,,,,,,,,,
1996-11-09T08:00:00,117.3,15.6,热带低压(TD),7,15,,,998,,,,,,,,,,,,,,,,,
1996-11-09T14:00:00,117.2,16.8,热带低压(TD),7,15,,,998,,,,,,,,,,,,,,,,,
1996-11-09T20:00:00,117.4,18.2,热带低压(TD),7,15,,,998,,,,,,,,,,,,,,,,,
1996-11-10T02:00:00,117.8,18.8,热带低压(TD),7,15,,,996,,,,,,,,,,,,,,,,,
1996-11-10T08:00:00,117.9,19.4,热带风暴(TS),8,20,,,994,,,,,,,,,,,,,,,,,
1996-11-10T14:00:00,117.8,19.9,热带风暴(TS),8,20,,,994,,,,,,,,,,,,,,,,,
1996-11-10T20:00:00,117.7,20.1,热带风暴(TS),8,20,,,994,,,,,,,,,,,,,,,,,
1996-11-11T02:00:00,117.9,20.3,热带风暴(TS),8,20,,,994,,,,,,,,,,,,,,,,,
1996-11-11T08:00:00,118.2,20.2,热带风暴(TS),8,20,,,992,,,,,,,,,,,,,,,,,
1996-11-11T14:00:00,118.5,19.8,热带风暴(TS),8,20,,,992,,,,,,,,,,,,,,,,,
1996-11-11T20:00:00,119.0,19.5,热带风暴(TS),8,20,,,992,,,,,,,,,,,,,,,,,
1996-11-12T02:00:00,119.5,19.4,热带风暴(TS),8,20,,,992,,,,,,,,,,,,,,,,,
1996-11-12T08:00:00,120.0,19.2,热带风暴(TS),8,20,,,992,,,,,,,,,,,,,,,,,
1996-11-12T14:00:00,120.1,18.6,热带风暴(TS),8,20,,,994,,,,,,,,,,,,,,,,,
1996-11-12T20:00:00,120.1,18.1,热带风暴(TS),8,20,,,994,,,,,,,,,,,,,,,,,
1996-11-13T02:00:00,119.7,17.2,热带风暴(TS),8,18,,,996,,,,,,,,,,,,,,,,,
1996-11-13T08:00:00,118.9,16.4,热带风暴(TS),8,18,,,996,,,,,,,,,,,,,,,,,
1996-11-13T14:00:00,118.2,15.9,热带风暴(TS),8,18,,,998,,,,,,,,,,,,,,,,,
1996-11-13T20:00:00,117.5,15.6,热带风暴(TS),8,18,,,998,,,,,,,,,,,,,,,,,
1996-11-14T02:00:00,116.2,15.2,热带风暴(TS),8,18,,,998,,,,,,,,,,,,,,,,,
1996-11-14T08:00:00,115.1,14.6,热带风暴(TS),8,18,,,998,,,,,,,,,,,,,,,,,
1996-11-14T14:00:00,113.9,13.9,热带风暴(TS),8,18,,,998,,,,,,,,,,,,,,,,,
1996-11-14T20:00:00,112.9,13.1,热带低压(TD),7,15,,,1002,,,,,,,,,,,,,,,,,
1996-11-15T02:00:00,112.4,12.4,热带低压(TD),6,12,,,1008,,,,,,,,,,,,,,,,,
1996-11-15T08:00:00,111.4,11.4,热带低压(TD),6,12,,,1008,,,,,,,,,,,,,,,,,
1996-11-15T14:00:00,110.8,10.8,热带低压(TD),6,12,,,1008,,,,,,,,,,,,,,,,,
1996-11-15T20:00:00,109.9,10.5,,5,10,,,1008,,,,,,,,,,,,,,,,,
1996-11-16T02:00:00,109.0,10.2,,5,10,,,1008,,,,,,,,,,,,,,,,,
1996-11-16T08:00:00,108.2,9.6,,5,10,,,1008,,,,,,,,,,,,,,,,,
