time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,remark,forecast
2008-12-12T14:00:00,140.3,13.6,热带风暴(TS),8,18,,,1000,,,,
2008-12-12T20:00:00,139.1,13.8,热带风暴(TS),8,20,西,20.0,995,150.0,,,
2008-12-13T02:00:00,138.1,14.1,热带风暴(TS),8,20,西北西,20.0,995,200.0,,,
2008-12-13T08:00:00,137.0,14.2,热带风暴(TS),9,23,西北西,20.0,990,200.0,,,
2008-12-13T14:00:00,135.8,13.9,热带风暴(TS),9,23,西,20.0,990,220.0,,,
2008-12-13T20:00:00,134.7,13.9,热带风暴(TS),9,23,西,20.0,990,250.0,,,
2008-12-14T02:00:00,133.6,13.9,热带风暴(TS),9,23,西,20.0,990,250.0,,,
2008-12-14T08:00:00,132.8,13.6,强热带风暴(STS),10,25,西,15.0,988,260.0,,,
2008-12-14T14:00:00,132.1,13.6,强热带风暴(STS),10,25,西,15.0,988,260.0,20.0,,
2008-12-14T20:00:00,131.4,13.6,强热带风暴(STS),10,25,西,10.0,985,260.0,20.0,,
2008-12-15T02:00:00,129.1,14.4,台风(TY),12,33,西北西,10.0,975,260.0,20.0,,
2008-12-15T08:00:00,130.3,13.7,强热带风暴(STS),10,25,西北西,10.0,985,260.0,20.0,,
2008-12-15T14:00:00,130.3,14.4,强热带风暴(STS),11,30,西北北,10.0,980,300.0,100.0,,
2008-12-15T20:00:00,130.2,14.7,台风(TY),12,33,西北北,10.0,975,330.0,100.0,,
2008-12-16T02:00:00,130.4,15.5,台风(TY),12,35,北,10.0,970,350.0,110.0,,
2008-12-16T08:00:00,130.5,15.8,台风(TY),12,35,,,970,350.0,110.0,,
2008-12-16T14:00:00,130.6,16.3,台风(TY),12,35,东北北,10.0,970,300.0,100.0,,
2008-12-16T20:00:00,130.8,17.0,强热带风暴(STS),11,30,东北北,13.0,980,300.0,80.0,,
2008-12-17T02:00:00,131.2,17.6,强热带风暴(STS),10,25,,15.0,985,220.0,,,
2008-12-17T08:00:00,132.0,18.4,强热带风暴(STS),10,25,,,985,220.0,,,
2008-12-17T14:00:00,132.6,19.2,强热带风暴(STS),10,25,,12.0,985,220.0,,,
2008-12-17T20:00:00,133.7,19.9,强热带风暴(STS),10,25,东北东,20.0,988,220.0,,,
2008-12-18T02:00:00,135.1,20.6,热带风暴(TS),9,23,东北东,25.0,990,120.0,,,
2008-12-18T08:00:00,137.3,22.0,热带风暴(TS),8,18,,,995,120.0,,,
